id,filtered_words,features,label_index
R129,"middle,present,degree,suffer,long,put,paper,camera,true,simply,cost,factor,miss,experts,discuss,ongoing,developments,election","71:4.424847,130:3.818711,132:2.720099,135:3.508556,188:2.527727,462:0.691153,490:4.270696,506:0.679272,561:3.272167,614:0.675343,642:3.818711,650:2.432416,687:0.679272,690:4.424847,871:2.720099,878:3.818711,904:4.019382,943:3.326234",1.0
R227,"quickly,heavy,chance,major,particular,mean,special,three,tax,consider,several,many,suggest,program,suggest,experts,discuss,ongoing,developments,climate,change","55:2.884402,58:3.731699,188:2.527727,227:4.607168,312:2.750870,346:3.326234,387:2.661258,391:2.527727,462:0.691153,506:0.679272,573:3.731699,587:4.019382,614:0.675343,687:0.679272,816:5.917019,821:2.720099,909:2.997730,925:3.326234,949:3.220874,984:3.651657",1.0
F231,"force,value,see,customer,knowledge,responsibility,vote,program,civil,design,sport,establish,security,—,shocking,claims,aliens,surface,internet","214:3.444017,278:4.270696,281:0.675343,338:0.691153,354:3.508556,391:2.527727,403:2.958510,413:3.272167,502:3.508556,503:0.691153,573:3.731699,593:3.818711,634:2.997730,650:2.432416,716:0.671429,850:0.679272,864:4.137165,922:3.272167,923:3.577549",0.0
R066,"water,power,particularly,power,south,teach,strong,good,see,within,upon,experts,discuss,ongoing,developments,policy","56:6.888035,142:2.478936,168:4.270696,354:3.508556,355:4.019382,443:3.272167,462:0.691153,506:0.679272,522:3.444017,589:4.424847,614:0.675343,687:0.679272,735:3.577549,816:2.958510,817:3.220874",1.0
F095,"eye,record,drive,dinner,pressure,me,city,purpose,song,spend,economic,market,represent,—,shocking,claims,mind,control,surface,internet","89:3.125564,144:2.387965,184:2.605688,208:2.661258,240:4.270696,281:0.675343,325:3.508556,338:0.691153,341:3.326234,347:3.081112,350:2.997730,353:3.914021,369:4.830312,495:3.444017,503:0.691153,657:3.326234,661:3.914021,716:0.671429,717:3.508556,850:0.679272",0.0
R174,"necessary,enough,represent,trade,treatment,outside,ball,conference,control,south,structure,everything,despite,experts,discuss,ongoing,developments,policy","15:2.920769,142:2.478936,156:4.137165,208:2.661258,301:3.038552,419:4.607168,462:0.691153,492:3.444017,506:0.679272,568:3.577549,614:0.675343,657:3.326234,687:0.679272,717:3.508556,748:4.270696,816:2.958510,979:3.577549,996:3.125564",1.0
R201,"resource,nearly,particularly,home,unit,way,plan,represent,decision,position,girl,despite,bar,black,enter,piece,social,similar,style,section,key,experts,discuss,ongoing,developments,public,health","0:3.577549,29:4.424847,46:4.019382,123:3.914021,131:4.137165,133:2.815409,193:4.607168,301:3.038552,332:3.272167,335:3.508556,339:4.137165,365:4.137165,391:2.527727,435:4.019382,443:3.272167,462:0.691153,506:0.679272,614:0.675343,670:4.424847,687:0.679272,717:3.508556,770:2.815409,805:2.849310,823:3.914021,866:3.731699,948:3.818711,968:3.081112",1.0
R072,"seem,section,health,fight,major,skin,article,occur,sure,amount,line,story,wind,southern,experts,discuss,ongoing,developments,education","58:3.731699,182:3.444017,222:4.137165,462:0.691153,506:0.679272,526:3.172084,530:2.246314,558:3.577549,588:3.731699,614:0.675343,687:0.679272,702:3.818711,743:3.818711,805:2.849310,821:2.720099,833:4.270696,855:3.383393,921:2.304583,968:3.081112",1.0
R064,"ground,authority,design,model,west,with,agency,less,our,development,open,understand,plan,attention,line,experts,discuss,ongoing,developments,research","85:3.125564,102:3.731699,123:3.914021,144:2.387965,165:4.270696,176:3.731699,182:3.444017,195:4.270696,432:2.782619,462:0.691153,487:7.463399,506:0.679272,614:0.675343,650:2.432416,687:0.679272,765:4.270696,783:3.326234,871:2.720099,922:3.272167",1.0
F037,"check,radio,try,yard,few,ball,reflect,perhaps,cultural,play,source,less,blood,line,entire,around,mr,owner,develop,water,—,shocking,claims,miracle,drug,surface,internet","53:3.914021,86:4.830312,173:3.731699,182:3.444017,195:4.270696,197:4.137165,233:4.019382,241:3.220874,256:2.884402,259:2.432416,281:0.675343,321:3.651657,338:0.691153,359:4.424847,424:3.818711,492:3.444017,503:0.691153,589:4.424847,647:3.444017,693:3.125564,716:0.671429,721:4.019382,824:3.914021,850:0.679272,860:2.720099,901:3.914021,960:4.270696",0.0
